date,instrument,yield_annual,yield_idr
2026-02-20,sbn,0.05119,0.05119
2026-02-19,sbn,0.05119,0.05119
2026-02-18,sbn,0.05119,0.05119
2026-02-13,sbn,0.05064,0.05064
2026-02-12,sbn,0.050679999999999996,0.050679999999999996
2026-02-11,sbn,0.05119,0.05119
2026-02-10,sbn,0.05119,0.05119
2026-02-09,sbn,0.05119,0.05119
2026-02-06,sbn,0.05118,0.05118
2026-02-05,sbn,0.050300000000000004,0.050300000000000004
2026-02-04,sbn,0.050309999999999994,0.050309999999999994
2026-02-03,sbn,0.050309999999999994,0.050309999999999994
2026-02-02,sbn,0.050309999999999994,0.050309999999999994
2026-01-30,sbn,0.04982,0.04982
2026-01-29,sbn,0.04983,0.04983
2026-01-28,sbn,0.04868,0.04868
2026-01-27,sbn,0.048170000000000004,0.048170000000000004
2026-01-26,sbn,0.048179999999999994,0.048179999999999994
2026-01-23,sbn,0.048179999999999994,0.048179999999999994
2026-01-22,sbn,0.04768,0.04768
2026-01-21,sbn,0.047619999999999996,0.047619999999999996
2026-01-20,sbn,0.04765,0.04765
2026-01-19,sbn,0.04822,0.04822
2026-01-15,sbn,0.047670000000000004,0.047670000000000004
2026-01-14,sbn,0.04947,0.04947
2026-01-13,sbn,0.049589999999999995,0.049589999999999995
2026-01-12,sbn,0.04956000000000001,0.04956000000000001
2026-01-09,sbn,0.04785999999999999,0.04785999999999999
2026-01-08,sbn,0.04905,0.04905
2026-01-07,sbn,0.04995,0.04995
2026-01-06,sbn,0.04995,0.04995
2026-01-05,sbn,0.04995,0.04995
2026-01-02,sbn,0.04995,0.04995
2025-12-31,sbn,0.049960000000000004,0.049960000000000004
2025-12-30,sbn,0.04997,0.04997
2025-12-29,sbn,0.04997,0.04997
2025-12-24,sbn,0.04997,0.04997
2025-12-23,sbn,0.049980000000000004,0.049980000000000004
2025-12-22,sbn,0.04999,0.04999
2025-12-19,sbn,0.04999,0.04999
2025-12-18,sbn,0.05072,0.05072
2025-12-17,sbn,0.050780000000000006,0.050780000000000006
2025-12-16,sbn,0.0504,0.0504
2025-12-15,sbn,0.0508,0.0508
2025-12-12,sbn,0.0508,0.0508
2025-12-11,sbn,0.0508,0.0508
2025-12-10,sbn,0.05081,0.05081
2025-12-09,sbn,0.051980000000000005,0.051980000000000005
2025-12-08,sbn,0.05197,0.05197
2025-12-05,sbn,0.05197,0.05197
2025-12-04,sbn,0.05197,0.05197
2025-12-03,sbn,0.05197,0.05197
2025-12-02,sbn,0.05074,0.05074
2025-12-01,sbn,0.05197,0.05197
2025-11-28,sbn,0.05096,0.05096
2025-11-27,sbn,0.05091999999999999,0.05091999999999999
2025-11-26,sbn,0.05058,0.05058
2025-11-25,sbn,0.051210000000000006,0.051210000000000006
2025-11-24,sbn,0.051210000000000006,0.051210000000000006
2025-11-21,sbn,0.04774,0.04774
2025-11-20,sbn,0.04771,0.04771
2025-11-19,sbn,0.04759,0.04759
2025-11-18,sbn,0.047599999999999996,0.047599999999999996
2025-11-17,sbn,0.04716,0.04716
2025-11-14,sbn,0.04708999999999999,0.04708999999999999
2025-11-13,sbn,0.047119999999999995,0.047119999999999995
2025-11-12,sbn,0.04686,0.04686
2025-11-11,sbn,0.04716,0.04716
2025-11-10,sbn,0.04704,0.04704
2025-11-07,sbn,0.04721,0.04721
2025-11-06,sbn,0.04731,0.04731
2025-11-05,sbn,0.04735,0.04735
2025-11-04,sbn,0.04747,0.04747
2025-11-03,sbn,0.04758,0.04758
2025-10-31,sbn,0.047599999999999996,0.047599999999999996
2025-10-30,sbn,0.04776,0.04776
2025-10-29,sbn,0.048010000000000004,0.048010000000000004
2025-10-28,sbn,0.048369999999999996,0.048369999999999996
2025-10-27,sbn,0.04814,0.04814
2025-10-24,sbn,0.04858,0.04858
2025-10-23,sbn,0.04839,0.04839
2025-10-22,sbn,0.04871,0.04871
2025-10-21,sbn,0.04867,0.04867
2025-10-20,sbn,0.0489,0.0489
2025-10-17,sbn,0.04919,0.04919
2025-10-16,sbn,0.04905,0.04905
2025-10-15,sbn,0.048920000000000005,0.048920000000000005
2025-10-14,sbn,0.048920000000000005,0.048920000000000005
2025-10-13,sbn,0.049800000000000004,0.049800000000000004
2025-10-10,sbn,0.04904,0.04904
2025-10-09,sbn,0.05,0.05
2025-10-08,sbn,0.04952,0.04952
2025-10-07,sbn,0.04952,0.04952
2025-10-06,sbn,0.049749999999999996,0.049749999999999996
2025-10-03,sbn,0.049850000000000005,0.049850000000000005
2025-10-02,sbn,0.04987,0.04987
2025-10-01,sbn,0.05035,0.05035
2025-09-30,sbn,0.05086,0.05086
2025-09-29,sbn,0.05053,0.05053
2025-09-26,sbn,0.05061,0.05061
2025-09-25,sbn,0.05008,0.05008
2025-09-24,sbn,0.05038,0.05038
2025-09-23,sbn,0.05168999999999999,0.05168999999999999
2025-09-22,sbn,0.05178,0.05178
2025-09-19,sbn,0.04902,0.04902
2025-09-18,sbn,0.05133,0.05133
2025-09-17,sbn,0.051680000000000004,0.051680000000000004
2025-09-16,sbn,0.051609999999999996,0.051609999999999996
2025-09-15,sbn,0.05173,0.05173
2025-09-12,sbn,0.05181,0.05181
2025-09-11,sbn,0.05196,0.05196
2025-09-10,sbn,0.052160000000000005,0.052160000000000005
2025-09-09,sbn,0.052000000000000005,0.052000000000000005
2025-09-08,sbn,0.05223,0.05223
2025-09-04,sbn,0.053099999999999994,0.053099999999999994
2025-09-02,sbn,0.05339000000000001,0.05339000000000001
2025-09-01,sbn,0.053470000000000004,0.053470000000000004
2025-08-29,sbn,0.05298,0.05298
2025-08-28,sbn,0.05306,0.05306
2025-08-27,sbn,0.05359,0.05359
