# fetched: 2026-02-21
date,instrument,yield_annual,currency,source,notes
2025-02-21,aave,0.0444897,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-02-22,aave,0.0512156,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-02-23,aave,0.0411329,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-02-24,aave,0.0417792,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-02-25,aave,0.039798599999999996,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-02-26,aave,0.0352677,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-02-27,aave,0.0328426,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-02-28,aave,0.033515500000000004,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-01,aave,0.0319872,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-02,aave,0.032386200000000004,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-03,aave,0.0338523,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-04,aave,0.0331658,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-05,aave,0.0336741,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-06,aave,0.0347455,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-07,aave,0.0337992,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-08,aave,0.0333949,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-09,aave,0.032925300000000005,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-10,aave,0.027486999999999998,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-11,aave,0.0268137,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-12,aave,0.026612399999999998,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-13,aave,0.0266073,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-14,aave,0.027127599999999998,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-15,aave,0.0276348,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-16,aave,0.026488200000000003,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-17,aave,0.026759400000000003,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-18,aave,0.0264739,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-19,aave,0.037794,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-20,aave,0.0343485,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-21,aave,0.0289412,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-22,aave,0.024947,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-23,aave,0.022228599999999998,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-24,aave,0.0236524,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-25,aave,0.0248828,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-26,aave,0.0266265,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-27,aave,0.0265128,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-28,aave,0.0237418,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-29,aave,0.0215617,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-30,aave,0.0391343,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-03-31,aave,0.032346400000000004,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-01,aave,0.029923799999999997,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-02,aave,0.0298455,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-03,aave,0.027004800000000002,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-04,aave,0.026633399999999998,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-05,aave,0.0227714,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-06,aave,0.0227763,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-07,aave,0.0184214,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-08,aave,0.018456,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-09,aave,0.0176389,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-10,aave,0.0171725,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-11,aave,0.0175322,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-12,aave,0.022418999999999998,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-13,aave,0.0189676,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
2025-04-14,aave,0.0171142,USD,defillama,Pool: USDT (f981a304-bb6c-45b8-b0c5-fd2f515ad23a)
