# fetched: 2026-02-21
date,tvl_usd
2025-02-21,19727371412
2025-02-22,19233632214
2025-02-23,19247287593
2025-02-24,20068185218
2025-02-25,18849281890
2025-02-26,18744880219
2025-02-27,17686071848
2025-02-28,17744980770
2025-03-01,17709162549
2025-03-02,17804070521
2025-03-03,19556913654
2025-03-04,17688781589
2025-03-05,17818702849
2025-03-06,18386180638
2025-03-07,17748348546
2025-03-08,17752329340
2025-03-09,17883016710
2025-03-10,16863603779
2025-03-11,16231030721
2025-03-12,16691381686
2025-03-13,16816828742
2025-03-14,16622011630
2025-03-15,17195150953
2025-03-16,17368369880
2025-03-17,17211692809
2025-03-18,17357676207
2025-03-19,17377856134
2025-03-20,17409750439
2025-03-21,17037939489
2025-03-22,17232855720
2025-03-23,17523743196
2025-03-24,18050163619
2025-03-25,18685450937
2025-03-26,18935834445
2025-03-27,18503185849
2025-03-28,18681616220
2025-03-29,17906490552
2025-03-30,17414485105
2025-03-31,16448082694
2025-04-01,16867944067
2025-04-02,17482302287
2025-04-03,16852451721
2025-04-04,17136358373
2025-04-05,17268153491
2025-04-06,17359240959
2025-04-07,16109006923
2025-04-08,16391269055
2025-04-09,16086512786
2025-04-10,17469151901
2025-04-11,16688233809
2025-04-12,17091756050
2025-04-13,17268790834
2025-04-14,17344439671
2025-04-15,17610109352
2025-04-16,17535177178
2025-04-17,17656930194
2025-04-18,17644479800
2025-04-19,17592274838
2025-04-20,17810930100
2025-04-21,17611795220
2025-04-22,16971511347
2025-04-23,18551530406
2025-04-24,19103863029
2025-04-25,19245221495
2025-04-26,19636307658
2025-04-27,19434843438
2025-04-28,19550061304
2025-04-29,19561176175
2025-04-30,19417339205
2025-05-01,19408522188
2025-05-02,20002880388
2025-05-03,20357980791
2025-05-04,20249383335
2025-05-05,20033077467
2025-05-06,19886209488
2025-05-07,20112236409
2025-05-08,19169335639
2025-05-09,21861782660
2025-05-10,23074590296
2025-05-11,24512598478
2025-05-12,24085326444
2025-05-13,23660585211
2025-05-14,24863562714
2025-05-15,23573607018
2025-05-16,23008243969
2025-05-17,23284168390
2025-05-18,23068905176
2025-05-19,23617736389
2025-05-20,23826878715
2025-05-21,24023692656
2025-05-22,24337743707
2025-05-23,25202538312
2025-05-24,24317953411
2025-05-25,24353614598
2025-05-26,24462733506
2025-05-27,24663807572
2025-05-28,25074648311
2025-05-29,24990337711
2025-05-30,24547745077
2025-05-31,23962209295
2025-06-01,24121589283
2025-06-02,24396395410
2025-06-03,24803509706
2025-06-04,24803953772
2025-06-05,24861342684
2025-06-06,23597428559
2025-06-07,24187072941
2025-06-08,24582946974
2025-06-09,24506971791
2025-06-10,25134471137
2025-06-11,26088326551
2025-06-12,25928913729
2025-06-13,24909250371
2025-06-14,24762009087
2025-06-15,24534919213
2025-06-16,24570909267
2025-06-17,25854553446
2025-06-18,25252551264
2025-06-19,25284659119
2025-06-20,25222340888
2025-06-21,24265434803
2025-06-22,23485312582
2025-06-23,22517524974
2025-06-24,24138877391
2025-06-25,24471322262
2025-06-26,24675428790
2025-06-27,24149649040
2025-06-28,24425584609
2025-06-29,24603601779
2025-06-30,25144712857
2025-07-01,24706446674
2025-07-02,24163484177
2025-07-03,25348196037
2025-07-04,25812437106
2025-07-05,25239713313
2025-07-06,25552744940
2025-07-07,25941377978
2025-07-08,25686241616
2025-07-09,26197491390
2025-07-10,27419357897
2025-07-11,28406819834
2025-07-12,28436691422
2025-07-13,28457113990
2025-07-14,28956506491
2025-07-15,29332422701
2025-07-16,29953960869
2025-07-17,29961937383
2025-07-18,30531960608
2025-07-19,31353193760
2025-07-20,31821699764
2025-07-21,33098489744
2025-07-22,33013067640
