# fetched: 2026-02-21
date,name,classification,technique,amount,chain,bridgeHack,targetType,source,returnedFunds,defillamaId,language,parentProtocolId
1711065600,Super Sushi Samurai,Protocol Logic,Infinite Mint and Dump,4800000.0,['Blast'],False,Gaming,https://rekt.news/sss-rekt/,,,Solidity,
1709856000,Unizen,Protocol Logic,External Call Vulnerability,2100000.0,['Ethereum'],False,DeFi Protocol,https://twitter.com/peckshield/status/1766210445415727608,2100000.0,1336.0,Solidity,
1621814400,AutoShark,Ecosystem,Flashloan Incentive Rewards Exploit,745000.0,['BSC'],False,DeFi Protocol,https://watchpug.medium.com/sharkfinance-performance-fee-minting-incident-analysis-4b2e3bd03923,,1074.0,,
1630627200,Siren,Smart Contract Language,Reentrancy,3450000.0,['Polygon'],False,DeFi Protocol,https://twitter.com/BlockSecTeam/status/1433682132090568705?s=20&t=yoeOhpvaWABdrYwfwtTJ0Q,,203.0,Solidity,
1704585600,MangoFarmSol,Rugpull,Frontend Attack,2000000.0,['Solana'],False,DeFi Protocol,https://cointelegraph.com/news/funds-mangofarmsol-drained-community-rug-pull,,,Rust,
1677456000,MyAlgo,Infrastructure,Cloudflare Key Compromised,9200000.0,['Algorand'],False,Wallet,https://twitter.com/zachxbt/status/1630375691886686208?s=20,,,Javascript,
1747267200,Zunami Protocol,Protocol Logic,withdrawStuckToken() exploit,500000.0,['Ethereum'],False,DeFi Protocol,https://x.com/ZunamiProtocol/status/1922993510925435267,,1201.0,Solidity,
1762819200,Impermax V3,Protocol Logic,Zero-Rate Hack,380000.0,['Base'],False,DeFi Protocol,https://x.com/hklst4r/status/1988339762537918895,,5981.0,Solidity,parent#impermax-finance
1628726400,DAO Maker Vesting,Infrastructure,Private Key Compromised (Unknown Method),7000000.0,['Ethereum'],False,DeFi Protocol,https://cointelegraph.com/news/dao-maker-crowdfunding-platform-loses-7m-in-latest-defi-exploit,,921.0,,parent#dao-maker
1730332800,M2 Exchange,Protocol Logic,Access Control Exploit,13700000.0,"['Ethereum', 'Solana', 'Bitcoin']",False,CEX,https://x.com/CyversAlerts/status/1852303223903633572,,,,
1743465600,UPCX,Protocol Logic,Upgraded ProxyAdmin + withdrawByAdmin Hack,,['Ethereum'],False,DeFi Protocol,https://x.com/cyversalerts/status/1907046941906653633,,,Solidity,
1739232000,four.meme,Protocol Logic,Liquidity Pool Exploit,183000.0,['BSC'],False,DeFi Protocol,https://x.com/peckshieldalert/status/1889210001220423765,,5174.0,Solidity,
1625875200,Multichain,Protocol Logic,Private Key Compromised (Bad ECDSA Implementation),7900000.0,"['Ethereum', 'BSC', 'Fantom']",True,CEX,https://rekt.news/anyswap-rekt/,,591.0,Solidity,
1690675200,Kannagi,Rugpull,Drained Contracts,1100000.0,"['zkSync Era', 'Ethereum']",False,DeFi Protocol,https://x.com/PeckShieldAlert/status/1685162644653973510,,,,
1620777600,xToken,Ecosystem,Flashloan Price Oracle Attack,24000000.0,['Ethereum'],False,DeFi Protocol,https://twitter.com/FrankResearcher/status/1392515198674681863?s=20,,206.0,Solidity,
1726790400,BingX,Infrastructure,Hot wallet hack,43300000.0,['Ethereum'],False,CEX,https://x.com/OnchainDataNerd/status/1836977341094150398,,4859.0,,
1626912000,Thorchain DEX,Protocol Logic,Refund Logic Exploit,8000000.0,['Ethereum'],False,DeFi Protocol,https://rekt.news/thorchain-rekt2/,,412.0,Solidity,
1630713600,DAO Maker Vesting,Protocol Logic,Access Control Exploit,4000000.0,['Ethereum'],False,DeFi Protocol,https://twitter.com/Mudit__Gupta/status/1434059922774237185?s=20&t=aoOtJLS6FHimjAE1anc1mg,,921.0,Solidity,parent#dao-maker
