# fetched: 2026-02-21
date,tvl_usd
2025-02-21,5292996849
2025-02-22,5199764446
2025-02-23,5287599881
2025-02-24,5321069042
2025-02-25,5193038405
2025-02-26,5116601638
2025-02-27,4991172167
2025-02-28,4692563459
2025-03-01,4653728701
2025-03-02,4479662614
2025-03-03,4613895998
2025-03-04,4460217348
2025-03-05,4478172326
2025-03-06,4534033179
2025-03-07,4536557111
2025-03-08,4529233742
2025-03-09,4607080691
2025-03-10,4516031362
2025-03-11,4498408350
2025-03-12,4578663790
2025-03-13,4573823765
2025-03-14,4551256796
2025-03-15,4641973328
2025-03-16,4660357071
2025-03-17,4649244514
2025-03-18,4681145914
2025-03-19,4684541710
2025-03-20,4763801100
2025-03-21,4721150363
2025-03-22,4659340289
2025-03-23,4694880972
2025-03-24,4721744430
2025-03-25,4769032330
2025-03-26,4568604906
2025-03-27,4352588284
2025-03-28,3331449001
2025-03-29,3053861506
2025-03-30,3035013850
2025-03-31,3041609048
2025-04-01,3104361458
2025-04-02,3152445098
2025-04-03,3118271217
2025-04-04,3161596108
2025-04-05,3195662462
2025-04-06,3189918268
2025-04-07,3098539605
2025-04-08,3079478762
2025-04-09,3066837457
2025-04-10,3129221464
2025-04-11,2902474116
2025-04-12,2895962961
2025-04-13,2918592818
2025-04-14,2910053308
2025-04-15,2886055489
2025-04-16,2867828448
2025-04-17,2872030570
2025-04-18,2857595516
2025-04-19,2869967284
2025-04-20,2867036277
2025-04-21,2886255265
2025-04-22,2892970121
2025-04-23,2963840982
2025-04-24,2974155996
2025-04-25,2907297191
2025-04-26,2911557678
2025-04-27,2921831494
2025-04-28,2911901023
2025-04-29,2908731438
2025-04-30,2932157703
2025-05-01,4252798404
2025-05-02,4345615797
2025-05-03,4422220477
2025-05-04,4403367784
2025-05-05,4411348554
2025-05-06,4447747670
2025-05-07,4462454910
2025-05-08,4506207981
2025-05-09,3879802126
2025-05-10,3809908096
2025-05-11,3881797639
2025-05-12,3905461365
2025-05-13,4002547169
2025-05-14,3984049486
2025-05-15,3977473061
2025-05-16,4035615616
2025-05-17,4161820106
2025-05-18,4182724443
2025-05-19,4191645159
2025-05-20,4232200152
2025-05-21,4391658948
2025-05-22,4415997290
2025-05-23,4467475713
2025-05-24,4478742046
2025-05-25,4539402943
2025-05-26,4539761428
2025-05-27,4559499302
2025-05-28,4650939120
2025-05-29,4774381159
2025-05-30,4154750268
2025-05-31,4053452168
2025-06-01,4416478819
2025-06-02,4360486221
2025-06-03,4442225485
2025-06-04,4531645635
2025-06-05,4617189379
2025-06-06,4705193466
2025-06-07,4787665982
2025-06-08,4840170489
2025-06-09,4880905117
2025-06-10,5003325339
2025-06-11,5057908725
2025-06-12,5015302152
2025-06-13,4997413173
2025-06-14,4973514303
2025-06-15,5033530368
2025-06-16,5018641445
2025-06-17,5094757384
2025-06-18,5128274560
2025-06-19,5164255042
2025-06-20,4978005437
2025-06-21,4970273041
2025-06-22,4971133697
2025-06-23,4899324733
2025-06-24,5028297156
2025-06-25,5038274686
2025-06-26,5045551329
2025-06-27,4962261544
2025-06-28,4929860450
2025-06-29,4926091742
2025-06-30,4911522523
2025-07-01,4889997285
2025-07-02,4874857519
2025-07-03,4918712492
2025-07-04,4990961807
