# fetched: 2026-02-21
date,instrument,yield_annual,currency,source,notes
2025-12-01,pendle,0.060182700000000006,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-02,pendle,0.29672129999999997,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-03,pendle,0.2607276,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-04,pendle,0.2773078,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-05,pendle,0.259438,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-06,pendle,0.2559919,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-07,pendle,0.2523974,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-08,pendle,0.2522945,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-09,pendle,0.0985163,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-10,pendle,0.1117125,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-11,pendle,0.1326476,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-12,pendle,0.142544,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-13,pendle,0.1581897,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-14,pendle,0.1710113,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-15,pendle,0.1823399,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-16,pendle,0.1878137,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2025-12-17,pendle,0.17852389999999999,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
