date,nav,fund_name
2025-02-21,1.551,Indeks Reksa Dana Pasar Uang Bareksa
2025-03-31,1.557,Indeks Reksa Dana Pasar Uang Bareksa
2025-04-30,1.563,Indeks Reksa Dana Pasar Uang Bareksa
2025-05-31,1.569,Indeks Reksa Dana Pasar Uang Bareksa
2025-06-30,1.575,Indeks Reksa Dana Pasar Uang Bareksa
2025-07-31,1.581,Indeks Reksa Dana Pasar Uang Bareksa
2025-08-31,1.587,Indeks Reksa Dana Pasar Uang Bareksa
2025-09-30,1.593,Indeks Reksa Dana Pasar Uang Bareksa
2025-10-31,1.599,Indeks Reksa Dana Pasar Uang Bareksa
2025-11-30,1.605,Indeks Reksa Dana Pasar Uang Bareksa
2025-12-31,1.611,Indeks Reksa Dana Pasar Uang Bareksa
2026-01-31,1.617,Indeks Reksa Dana Pasar Uang Bareksa
2026-02-21,1.618,Indeks Reksa Dana Pasar Uang Bareksa
