"Date","Price","Open","High","Low","Change %"
"02/20/2026","5.119","5.119","5.119","5.119","0.00%"
"02/19/2026","5.119","5.119","5.119","5.119","0.00%"
"02/18/2026","5.119","5.119","5.119","5.119","1.09%"
"02/13/2026","5.064","5.064","5.064","5.064","-0.08%"
"02/12/2026","5.068","5.119","5.119","5.068","-1.00%"
"02/11/2026","5.119","5.119","5.119","5.119","0.00%"
"02/10/2026","5.119","5.119","5.119","5.119","0.00%"
"02/09/2026","5.119","5.119","5.119","5.119","0.02%"
"02/06/2026","5.118","5.030","5.118","5.030","1.75%"
"02/05/2026","5.030","5.030","5.030","5.030","-0.02%"
"02/04/2026","5.031","5.031","5.031","5.031","0.00%"
"02/03/2026","5.031","5.031","5.031","5.031","0.00%"
"02/02/2026","5.031","5.031","5.031","5.031","0.98%"
"01/30/2026","4.982","4.982","4.982","4.982","-0.02%"
"01/29/2026","4.983","4.861","5.031","4.861","2.36%"
"01/28/2026","4.868","4.816","4.868","4.816","1.06%"
"01/27/2026","4.817","4.817","4.817","4.817","-0.02%"
"01/26/2026","4.818","4.818","4.818","4.818","0.00%"
"01/23/2026","4.818","4.818","4.818","4.818","1.05%"
"01/22/2026","4.768","4.766","4.768","4.766","0.13%"
"01/21/2026","4.762","4.770","4.770","4.762","-0.06%"
"01/20/2026","4.765","4.822","4.822","4.765","-1.18%"
"01/19/2026","4.822","4.822","4.822","4.822","1.15%"
"01/15/2026","4.767","4.947","4.947","4.744","-3.64%"
"01/14/2026","4.947","4.945","4.955","4.942","-0.24%"
"01/13/2026","4.959","4.961","4.961","4.959","0.06%"
"01/12/2026","4.956","4.785","4.956","4.785","3.55%"
"01/09/2026","4.786","4.786","4.786","4.786","-2.43%"
"01/08/2026","4.905","4.994","4.994","4.905","-1.80%"
"01/07/2026","4.995","4.995","4.995","4.995","0.00%"
"01/06/2026","4.995","4.995","4.995","4.995","0.00%"
"01/05/2026","4.995","4.995","4.995","4.995","0.00%"
"01/02/2026","4.995","4.995","4.995","4.995","-0.02%"
"12/31/2025","4.996","4.996","4.996","4.996","-0.02%"
"12/30/2025","4.997","4.997","4.997","4.997","0.00%"
"12/29/2025","4.997","4.997","4.997","4.997","0.00%"
"12/24/2025","4.997","4.997","4.997","4.997","-0.02%"
"12/23/2025","4.998","4.998","4.998","4.998","-0.02%"
"12/22/2025","4.999","4.999","4.999","4.999","0.00%"
"12/19/2025","4.999","5.083","5.083","4.999","-1.44%"
"12/18/2025","5.072","5.074","5.074","5.072","-0.12%"
"12/17/2025","5.078","5.040","5.080","5.040","0.75%"
"12/16/2025","5.040","5.080","5.119","5.040","-0.79%"
"12/15/2025","5.080","5.080","5.080","5.080","0.00%"
"12/12/2025","5.080","5.080","5.080","5.080","0.00%"
"12/11/2025","5.080","5.080","5.080","5.080","-0.02%"
"12/10/2025","5.081","5.198","5.198","5.081","-2.25%"
"12/09/2025","5.198","5.198","5.198","5.198","0.02%"
"12/08/2025","5.197","5.197","5.197","5.197","0.00%"
"12/05/2025","5.197","5.197","5.197","5.197","0.00%"
"12/04/2025","5.197","5.197","5.197","5.197","0.00%"
"12/03/2025","5.197","5.197","5.197","5.197","2.42%"
"12/02/2025","5.074","5.097","5.097","5.074","-2.37%"
"12/01/2025","5.197","5.197","5.197","5.197","1.98%"
"11/28/2025","5.096","5.096","5.096","5.096","0.08%"
"11/27/2025","5.092","5.058","5.092","5.058","0.67%"
"11/26/2025","5.058","5.121","5.121","5.058","-1.23%"
"11/25/2025","5.121","5.121","5.121","5.121","0.00%"
"11/24/2025","5.121","4.781","5.121","4.781","7.27%"
"11/21/2025","4.774","4.773","4.774","4.773","0.06%"
"11/20/2025","4.771","4.759","4.772","4.759","0.25%"
"11/19/2025","4.759","4.934","4.934","4.748","-0.02%"
"11/18/2025","4.760","4.760","4.760","4.760","0.93%"
"11/17/2025","4.716","4.716","4.716","4.708","0.15%"
"11/14/2025","4.709","4.709","4.709","4.709","-0.06%"
"11/13/2025","4.712","4.654","4.713","4.654","0.55%"
"11/12/2025","4.686","4.679","4.686","4.679","-0.64%"
"11/11/2025","4.716","4.716","4.716","4.716","0.26%"
"11/10/2025","4.704","4.677","4.728","4.666","-0.36%"
"11/07/2025","4.721","4.725","4.725","4.721","-0.21%"
"11/06/2025","4.731","4.701","4.731","4.701","-0.08%"
"11/05/2025","4.735","4.735","4.735","4.735","-0.25%"
"11/04/2025","4.747","4.747","4.747","4.747","-0.23%"
"11/03/2025","4.758","4.758","4.758","4.758","-0.04%"
"10/31/2025","4.760","4.764","4.764","4.760","-0.34%"
"10/30/2025","4.776","4.776","4.776","4.776","-0.52%"
"10/29/2025","4.801","4.826","4.826","4.801","-0.74%"
"10/28/2025","4.837","4.819","4.837","4.819","0.48%"
"10/27/2025","4.814","4.835","4.835","4.814","-0.91%"
"10/24/2025","4.858","4.846","4.858","4.815","0.39%"
"10/23/2025","4.839","4.839","4.839","4.839","-0.66%"
"10/22/2025","4.871","4.871","4.871","4.871","0.08%"
