chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Ethereum,pendle,SNUSD,34136959,12.00505,,12.00505,,4b1a1868-5852-42bd-9d0d-e9b09c20d51e,-0.19915,-0.04203,-1.02154,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 59, 'binnedConfidence': 1}",For buying PT-sNUSD-05MAR2026,13.66965,0.09084,86,False,['0x08efcc2f3e61185d0ea7f8830b3fec9bfa2ee313'],,,12.22263,,,
Ethereum,pendle,SNUSD,34136959,10.0648,0.29944,10.36424,['0x808507121b80c02388fad14726482e061b8da827'],ef064741-6170-4e8b-8c5c-885059ab9072,-0.15894,-1.05893,-2.18056,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 53, 'binnedConfidence': 1}",For LP | Maturity 05MAR2026,14.20844,0.1879,86,False,"['0x54bf2659b5cdfd86b75920e93c0844c0364f5166', '0x10c5e7711eaddc1b6b64e40ef1976fc462666409']",,,11.53283,1187.49794,35851.98866,
Ethereum,pendle,SUSDE,29106705,3.90385,,3.90385,,e2fa0a1c-91bc-4653-b165-5005a8327402,-0.01732,-0.53358,-0.81081,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 53, 'binnedConfidence': 1}",For buying PT-sUSDe-07MAY2026,4.60553,0.02189,47,False,['0x9d39a5de30e57443bff2a8307a4256c8797a3497'],,,4.41343,,,
Ethereum,pendle,SUSDE,29106705,3.58117,1.27778,4.85895,['0x808507121b80c02388fad14726482e061b8da827'],c1239c10-073c-4e0e-a310-86bdaafccaee,0.16792,0.12634,-0.5887,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 59, 'binnedConfidence': 1}",For LP | Maturity 07MAY2026,5.86565,0.05347,47,False,"['0x3de0ff76e8b528c092d47b9dac775931cef80f49', '0xbf98480425a29197e5d99d003017f63a1e595d02']",,,5.61842,7985.50749,992048.3947,
Ethereum,pendle,SRUSDE,21513588,4.08555,,4.08555,,88eed315-9ebc-4f6c-b163-10d715266ab0,-0.27346,-0.19095,-2.18019,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 66, 'binnedConfidence': 2}",For buying PT-srUSDe-02APR2026,5.73584,0.05449,56,False,['0x3d7d6fdf07ee548b939a80edbc9b2256d0cdc003'],,,5.0865,,,
Ethereum,pendle,SRUSDE,21513588,2.57285,1.18196,3.75481,['0x808507121b80c02388fad14726482e061b8da827'],41cd5bea-b301-479a-a176-274fe8a36cc1,0.0022,0.05233,-2.0119,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 62, 'binnedConfidence': 2}",For LP | Maturity 02APR2026,4.96752,0.05853,56,False,"['0x9bf45ab47747f4b4dd09b3c2c73953484b4eb375', '0xc9bfebc79a722c05dc34bd2a227ef2db19fd1b8e']",,,4.15888,15571.00523,26178.2363,
Hyperliquid L1,pendle,KHYPE,16585568,2.29445,0.28849,2.58294,['0xD6Eb81136884713E843936843E286FD2a85A205A'],9f835f2f-4b70-4cee-ae38-f76df9bc0553,-0.01003,-0.08563,-0.42995,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 51, 'binnedConfidence': 1}",For LP | Maturity 19MAR2026,2.94953,0.0117,86,False,"['0xea84ca9849d9e76a78b91f221f84e9ca065fc9f5', '0x57fc55dff8ceca86ee94a6bf255af2f0ed90eb9e']",,,2.75968,0.0,0.0,
Hyperliquid L1,pendle,KHYPE,16585568,2.9071,,2.9071,,d0d29156-835e-4784-a0de-b1be19205da2,0.02195,-0.0686,-0.76328,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 69, 'binnedConfidence': 2}",For buying PT-kHYPE-19MAR2026,3.19217,0.0193,86,False,['0xfd739d4e423301ce9385c1fb8850539d657c296d'],,,2.93104,,,
Ethereum,pendle,JRUSDE,14286920,7.08703,,7.08703,,f479e485-7359-43db-b887-92f1873d0af3,-0.29092,-1.03219,-1.10969,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 68, 'binnedConfidence': 2}",For buying PT-jrUSDe-02APR2026,9.12997,0.06638,56,False,['0xc58d044404d8b14e953c115e67823784dea53d8f'],,,8.1685,,,
Ethereum,pendle,JRUSDE,14286920,7.38086,0.3622,7.74306,['0x808507121b80c02388fad14726482e061b8da827'],d32497db-259a-4295-8b19-ace83d8ce482,-0.31384,-0.2018,-2.18609,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 68, 'binnedConfidence': 2}",For LP | Maturity 02APR2026,10.41866,0.11771,56,False,"['0xd0609ac13000d88b0bebf5bb21074916edd92bb1', '0x4f6673346ab4813f1665327ab39087008cc7d76f']",,,8.49971,42249.06375,452061.08279,
Ethereum,pendle,SAVUSD,12728168,8.33867,0.52637,8.86504,['0x808507121b80c02388fad14726482e061b8da827'],a13d91c7-8853-4a56-81e1-07c92d5b34c9,-0.14875,-0.54099,-7.09892,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 2}",For LP | Maturity 14MAY2026,13.33265,0.14887,42,False,"['0x606b5c773dc4d6e625c411cf60565f8c30c467d2', '0x0caefeb807152fbd945bf947893e6feba5aed61b']",,,12.40708,0.0,102721.82116,
Ethereum,pendle,SAVUSD,12728168,9.07662,,9.07662,,be64b929-8e76-4f58-8867-046ca4a76add,-0.41812,-0.54264,-2.09349,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-savUSD-14MAY2026,10.60615,0.05236,42,False,['0xb8d89678e75a973e74698c976716308abb8a46a4'],,,10.14997,,,
Arbitrum,pendle,SUSDAI,11696105,8.59344,,8.59344,,894ef05d-8143-4fa2-9a1c-bebc14686337,0.27146,0.77232,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 64, 'binnedConfidence': 2}",For buying PT-sUSDai-15OCT2026,8.08603,0.02252,12,False,['0x0b2b2b2076d95dda7817e785989fe353fe955ef9'],,,8.16674,,,
Arbitrum,pendle,SUSDAI,11696105,7.34205,1.79436,9.13641,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],55d53cce-4455-4085-8245-557257d9fe61,-0.88172,1.53975,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 56.00000000000001, 'binnedConfidence': 1}",For LP | Maturity 15OCT2026,10.24344,0.1359,12,False,"['0xb459db106f645d698e74027eef6019a26a0675cc', '0x30ccf4bbee313fcd19f3e295b3ba2920a24e2f62']",,,10.09024,4192229.97896,9148778.03185,
Ethereum,pendle,CUSDO,11313949,3.32924,0.20395,3.53319,['0x808507121b80c02388fad14726482e061b8da827'],b2ebf3c0-a173-4d61-959b-23405b7d4edb,-0.01562,-0.09131,-0.10646,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 60, 'binnedConfidence': 1}",For LP | Maturity 28MAY2026,3.78037,0.01495,94,False,"['0x67aeeed39c1675e0df93ad8bab543b17992d433b', '0x20b59becded839835a3ba58629430375dae02720']",,,3.70081,0.0,1470.15951,
Ethereum,pendle,CUSDO,11313949,4.52434,,4.52434,,4531ccea-f0fc-44f4-bf9f-e5e0a2e33505,-0.07199,-0.0407,-0.47207,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 54, 'binnedConfidence': 1}",For buying PT-cUSDO-28MAY2026,4.62556,0.02708,94,False,['0xad55aebc9b8c03fc43cd9f62260391c13c23e7c0'],,,4.80752,,,
Ethereum,pendle,SNUSD,11258656,10.09368,0.20095,10.29463,['0x808507121b80c02388fad14726482e061b8da827'],a064d3a0-e0b0-42c2-8992-1358c950bc6d,-0.17503,,,True,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",For LP | Maturity 04JUN2026,10.247,0.0032,2,False,"['0x6c65db1d88c8eda1e3debf2b2ef3d0ece8600466', '0x10c5e7711eaddc1b6b64e40ef1976fc462666409']",,,10.34727,53731.51075,205399.88666,
Ethereum,pendle,SNUSD,11258656,10.34265,,10.34265,,0f38d9a4-8e34-4abc-b9ba-25f326ef7828,-0.54471,,,True,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",For buying PT-sNUSD-04JUN2026,10.10846,0.01573,2,False,['0x08efcc2f3e61185d0ea7f8830b3fec9bfa2ee313'],,,10.46759,,,
Base,pendle,UNIBTC,10783244,0.18576,0.0,0.18576,['0xa99f6e6785da0f5d6fb42495fe424bce029eeb3e'],932605c6-5256-4e25-b059-c5dd1c14a3ea,-5.45687,,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 77, 'binnedConfidence': 3}",For LP | Maturity 25JUN2026,4.07691,0.13225,7,False,"['0xc45139488b7ab235affad981cbdb5c898581d04f', '0x73838d7ae05294b2f4d648971e33e812ee048f56']",,,4.79789,0.0,66180.46198,
